KEY,VALUE
EXT_ANCHOR,489.33
EXT_S_W,4.245
EXT_S_L,2.495
EXT_S_AREA,0.040
HOLE_PRICE,25
SKIRT_SURCHARGE,75
SKIRT_THRESHOLD,6
PAINTED_MULTIPLIER,1.5
GAUGE_24,1.0
GAUGE_20,1.3
GAUGE_18,1.4
GAUGE_16,1.6
GAUGE_14,1.8
GAUGE_12,2.7
GAUGE_10,3.4
MAT_galvanized,1.0
MAT_stainless,1.0
MAT_copper,3.0
COEF_bias,182.0890489917
COEF_area,0.0318723134
COEF_perim,0.1369965570
COEF_D,0.1036000360
COEF_m,0.0333965210
COEF_W,0.0656462319
COEF_L,0.0713503251
COEF_wingpos,-0.4452748191
COEF_whigh,13.2853202528
COEF_b2,6.3069706208
COEF_area_b2,-0.0039675400
COEF_perim_b2,0.0856807640
COEF_D_b2,0.0080467890
COEF_m_b2,0.0776339750
COEF_W_b2,0.0457194643
COEF_L_b2,0.0399612998
COEF_wingpos_b2,0.0
COEF_whigh_b2,-13.2864079933
COEF_b3,0.0016241299
COEF_area_b3,-0.0015856263
COEF_perim_b3,0.0876736534
COEF_D_b3,0.0877030168
COEF_m_b3,-0.0000293635
COEF_W_b3,-0.0000293635
COEF_L_b3,0.0877030168
COEF_wingpos_b3,0.0032482599
COEF_whigh_b3,-13.2177378352
COEF_b4a,0.0054606302
COEF_area_b4a,-0.0010569625
COEF_perim_b4a,0.2362901679
COEF_D_b4a,0.2250368930
COEF_m_b4a,0.0112532749
COEF_W_b4a,0.0112532749
COEF_L_b4a,0.2250368930
COEF_wingpos_b4a,-0.0589158775
COEF_whigh_b4a,-13.2853477253
COEF_b4b,0.0054496755
COEF_area_b4b,-0.0010639801
COEF_perim_b4b,0.2364314296
COEF_D_b4b,0.2248706840
COEF_m_b4b,0.0115607456
COEF_W_b4b,0.0115607456
COEF_L_b4b,0.2248706840
COEF_wingpos_b4b,-0.0585124405
COEF_whigh_b4b,-13.2872982748
COEF_b5a,0.0067248312
COEF_area_b5a,0.0047864585
COEF_perim_b5a,0.2887895888
COEF_D_b5a,0.2596192011
COEF_m_b5a,0.0291703878
COEF_W_b5a,0.0291703878
COEF_L_b5a,0.2596192011
COEF_wingpos_b5a,-0.0900720198
COEF_whigh_b5a,-13.2884850880
COEF_b5b,0.0066716629
COEF_area_b5b,0.0047453558
COEF_perim_b5b,0.2893939816
COEF_D_b5b,0.2589883006
COEF_m_b5b,0.0304056809
COEF_W_b5b,0.0304056809
COEF_L_b5b,0.2589883006
COEF_wingpos_b5b,-0.0879381705
COEF_whigh_b5b,-13.2849600574
COEF_b6a,0.0024888303
COEF_area_b6a,0.0059039372
COEF_perim_b6a,0.2389892036
COEF_D_b6a,0.2389277043
COEF_m_b6a,0.0000614993
COEF_W_b6a,0.0000614993
COEF_L_b6a,0.2389277043
COEF_wingpos_b6a,0.1095085311
COEF_whigh_b6a,-13.2840252787
COEF_b6b,0.0111706794
COEF_area_b6b,0.0069478620
COEF_perim_b6b,0.2549968956
COEF_D_b6b,0.3182822290
COEF_m_b6b,-0.0632853333
COEF_W_b6b,-0.0632853333
COEF_L_b6b,0.3182822290
COEF_wingpos_b6b,-0.2625931017
COEF_whigh_b6b,-13.2407231832
COEF_W_b1,0.0007898759
COEF_bug_W46_L36,-49.9511870042
COEF_bug_W46_L38,-49.8969266443
COEF_bug_W30_L96,-4.9919550609
COEF_bug_W52_L32,1.3386118958
